"DriversKilled","drivers","front","rear","kms","PetrolPrice","VanKilled","law","date","year","month","day","week","wday","killedPerDriver","frontvrear"
162,2274,986,370,12268,0.103451745711815,12,0,"1976-12-01",1976,12,1,49,"Wed",0.0712401055408971,2.66486486486486
112,1648,714,291,11972,0.101449920129493,10,0,"1977-01-01",1977,1,1,1,"Sat",0.0679611650485437,2.45360824742268
79,1401,567,224,12028,0.100402316427863,9,0,"1977-01-31",1977,1,31,5,"Mon",0.0563882940756602,2.53125
82,1411,616,266,14033,0.098862033680192,7,0,"1977-03-02",1977,3,2,9,"Wed",0.0581148121899362,2.31578947368421
127,1403,678,338,14244,0.102496154313521,5,0,"1977-04-02",1977,4,2,14,"Sat",0.090520313613685,2.00591715976331
108,1394,742,298,15287,0.103027431599736,10,0,"1977-05-02",1977,5,2,18,"Mon",0.0774748923959828,2.48993288590604
110,1520,840,386,16954,0.102178908220655,5,0,"1977-06-02",1977,6,2,22,"Thurs",0.0723684210526316,2.17616580310881
123,1528,888,479,17361,0.0998366428726473,6,0,"1977-07-02",1977,7,2,27,"Sat",0.0804973821989529,1.85386221294363
103,1643,852,473,17694,0.0926366895833353,8,0,"1977-08-01",1977,8,1,31,"Mon",0.0626902008520998,1.80126849894292
97,1515,774,332,16222,0.0918149629077569,6,0,"1977-09-01",1977,9,1,35,"Thurs",0.064026402640264,2.33132530120482
140,1685,831,391,14969,0.090724303768407,12,0,"1977-10-01",1977,10,1,40,"Sat",0.0830860534124629,2.12531969309463
165,2000,889,370,13624,0.0900212072768793,15,0,"1977-11-01",1977,11,1,44,"Tues",0.0825,2.4027027027027
183,2215,1046,431,13842,0.0893307058230937,7,0,"1977-12-01",1977,12,1,48,"Thurs",0.0826185101580135,2.42691415313225
148,1956,889,366,12387,0.0884427348717763,14,0,"1978-01-01",1978,1,1,1,"Sun",0.0756646216768916,2.42896174863388
111,1462,626,250,11608,0.0883525692744791,4,0,"1978-01-31",1978,1,31,5,"Tues",0.0759233926128591,2.504
116,1563,808,355,15021,0.0867573619308237,10,0,"1978-03-02",1978,3,2,9,"Thurs",0.0742162507997441,2.27605633802817
115,1459,746,304,14834,0.0849952420449752,8,0,"1978-04-02",1978,4,2,14,"Sun",0.0788211103495545,2.45394736842105
100,1446,754,379,16565,0.0845679437213488,7,0,"1978-05-02",1978,5,2,18,"Tues",0.0691562932226833,1.98944591029024
106,1622,865,440,16882,0.0844318988774436,11,0,"1978-06-02",1978,6,2,22,"Fri",0.0653514180024661,1.96590909090909
134,1657,980,500,18012,0.0843508831482932,3,0,"1978-07-02",1978,7,2,27,"Sun",0.0808690404345202,1.96
125,1638,959,511,18855,0.0836009830491076,5,0,"1978-08-01",1978,8,1,31,"Tues",0.0763125763125763,1.87671232876712
117,1643,856,384,17243,0.0834172630524962,11,0,"1978-09-01",1978,9,1,35,"Fri",0.0712111990261716,2.22916666666667
122,1683,798,366,16045,0.0827451397987249,10,0,"1978-10-01",1978,10,1,40,"Sun",0.0724896019013666,2.18032786885246
153,2050,942,432,14745,0.0852352669035281,10,0,"1978-11-01",1978,11,1,44,"Wed",0.0746341463414634,2.18055555555556
178,2262,1010,390,13726,0.0847703028296526,7,0,"1978-12-01",1978,12,1,48,"Fri",0.0786914235190097,2.58974358974359
114,1813,796,306,11196,0.0844589214084587,10,0,"1979-01-01",1979,1,1,1,"Mon",0.0628792057363486,2.60130718954248
94,1445,643,232,12105,0.085352119244763,11,0,"1979-01-31",1979,1,31,5,"Wed",0.0650519031141868,2.77155172413793
128,1762,794,342,14723,0.0875592125175749,9,0,"1979-03-02",1979,3,2,9,"Fri",0.0726447219069239,2.32163742690058
119,1461,750,329,15582,0.0903829170614837,7,0,"1979-04-02",1979,4,2,14,"Mon",0.08145106091718,2.27963525835866
111,1556,809,394,16863,0.0907832937355188,8,0,"1979-05-02",1979,5,2,18,"Wed",0.0713367609254499,2.05329949238579
110,1431,716,355,16758,0.108742780219868,13,0,"1979-06-02",1979,6,2,22,"Sat",0.076869322152341,2.0169014084507
114,1427,851,385,17434,0.114142227335262,8,0,"1979-07-02",1979,7,2,27,"Mon",0.0798878766643308,2.21038961038961
118,1554,931,463,18359,0.112992933231466,5,0,"1979-08-01",1979,8,1,31,"Wed",0.0759330759330759,2.01079913606911
115,1645,834,453,17189,0.111320706029796,8,0,"1979-09-01",1979,9,1,35,"Sat",0.0699088145896656,1.84105960264901
132,1653,762,373,16909,0.109126229280665,7,0,"1979-10-01",1979,10,1,40,"Mon",0.0798548094373866,2.04289544235925
153,2016,880,401,15380,0.107698459343112,12,0,"1979-11-01",1979,11,1,44,"Thurs",0.0758928571428571,2.19451371571072
171,2207,1077,466,15161,0.107601574334496,10,0,"1979-12-01",1979,12,1,48,"Sat",0.0774807430901676,2.31115879828326
115,1665,748,306,14027,0.103775019202843,7,0,"1980-01-01",1980,1,1,1,"Tues",0.0690690690690691,2.44444444444444
95,1361,593,263,14478,0.107114170431059,4,0,"1980-01-31",1980,1,31,5,"Thurs",0.0698016164584864,2.25475285171103
92,1506,720,323,16155,0.107374774370757,10,0,"1980-03-02",1980,3,2,9,"Sun",0.0610889774236388,2.22910216718266
100,1360,646,310,16585,0.111695372689559,4,0,"1980-04-01",1980,4,1,14,"Tues",0.0735294117647059,2.08387096774194
95,1453,765,424,18117,0.110638184592354,8,0,"1980-05-01",1980,5,1,18,"Thurs",0.0653819683413627,1.80424528301887
114,1522,820,403,17552,0.111855211329895,8,0,"1980-06-01",1980,6,1,22,"Sun",0.0749014454664915,2.03473945409429
102,1460,807,406,18299,0.109742342683337,7,0,"1980-07-02",1980,7,2,27,"Wed",0.0698630136986301,1.98768472906404
104,1552,885,466,19361,0.108193931510232,10,0,"1980-08-01",1980,8,1,31,"Fri",0.0670103092783505,1.89914163090129
132,1548,803,381,17924,0.106255362697951,8,0,"1980-09-01",1980,9,1,36,"Mon",0.0852713178294574,2.10761154855643
136,1827,860,369,17872,0.104193034427699,14,0,"1980-10-01",1980,10,1,40,"Wed",0.0744389709906951,2.33062330623306
117,1737,825,378,16058,0.101933972880902,8,0,"1980-10-31",1980,10,31,44,"Fri",0.0673575129533679,2.18253968253968
137,1941,911,392,15746,0.102793824574291,9,0,"1980-12-01",1980,12,1,49,"Mon",0.0705821741370428,2.32397959183673
111,1474,704,284,15226,0.10476034144929,8,0,"1981-01-01",1981,1,1,1,"Thurs",0.0753052917232022,2.47887323943662
106,1458,691,316,14932,0.104002535534347,6,0,"1981-01-31",1981,1,31,5,"Sat",0.0727023319615912,2.18670886075949
98,1542,688,321,16846,0.116655515402424,7,0,"1981-03-02",1981,3,2,9,"Mon",0.0635538261997406,2.14330218068536
84,1404,714,358,16854,0.11516147558196,6,0,"1981-04-02",1981,4,2,14,"Thurs",0.0598290598290598,1.99441340782123
94,1522,814,378,18146,0.112989543494316,5,0,"1981-05-02",1981,5,2,18,"Sat",0.0617608409986859,2.15343915343915
105,1385,736,382,17559,0.113860643932406,4,0,"1981-06-02",1981,6,2,22,"Tues",0.075812274368231,1.92670157068063
123,1641,876,433,18655,0.119118081064489,5,0,"1981-07-02",1981,7,2,27,"Thurs",0.0749542961608775,2.02309468822171
109,1510,829,506,19453,0.124489986005886,10,0,"1981-08-01",1981,8,1,31,"Sat",0.0721854304635762,1.63833992094862
130,1681,818,428,17923,0.123222945411622,7,0,"1981-09-01",1981,9,1,35,"Tues",0.0773349196906603,1.91121495327103
153,1938,942,479,17915,0.12067793212866,10,0,"1981-10-01",1981,10,1,40,"Thurs",0.0789473684210526,1.96659707724426
134,1868,782,370,16496,0.121048982651421,12,0,"1981-11-01",1981,11,1,44,"Sun",0.0717344753747323,2.11351351351351
99,1726,823,349,13544,0.116968571491487,7,0,"1981-12-01",1981,12,1,48,"Tues",0.0573580533024334,2.35816618911175
115,1456,595,238,13601,0.112750259392875,4,0,"1982-01-01",1982,1,1,1,"Fri",0.0789835164835165,2.5
104,1445,673,285,15667,0.108079306704711,5,0,"1982-01-31",1982,1,31,5,"Sun",0.0719723183391004,2.36140350877193
131,1456,660,324,17358,0.108838515984019,6,0,"1982-03-02",1982,3,2,9,"Tues",0.0899725274725275,2.03703703703704
108,1365,676,346,18112,0.111291766408542,4,0,"1982-04-02",1982,4,2,14,"Fri",0.0791208791208791,1.95375722543353
103,1487,755,410,18581,0.111304009176187,4,0,"1982-05-02",1982,5,2,18,"Sun",0.0692669804976463,1.84146341463415
115,1558,815,411,18759,0.115454357532553,8,0,"1982-06-02",1982,6,2,22,"Wed",0.0738125802310655,1.98296836982968
122,1488,867,496,20668,0.114768296055692,8,0,"1982-07-02",1982,7,2,27,"Fri",0.081989247311828,1.74798387096774
122,1684,933,534,21040,0.117207430931122,3,0,"1982-08-01",1982,8,1,31,"Sun",0.0724465558194774,1.74719101123595
125,1594,798,396,18993,0.119076397031248,7,0,"1982-09-01",1982,9,1,35,"Wed",0.0784190715181932,2.01515151515152
137,1850,950,470,18668,0.117965862171995,12,0,"1982-10-01",1982,10,1,40,"Fri",0.0740540540540541,2.02127659574468
138,1998,825,385,16768,0.117449127100423,2,0,"1982-11-01",1982,11,1,44,"Mon",0.0690690690690691,2.14285714285714
152,2079,911,411,16551,0.116988457838933,7,0,"1982-12-01",1982,12,1,48,"Wed",0.0731120731120731,2.21654501216545
120,1494,619,281,16231,0.11261053571781,8,0,"1983-01-01",1983,1,1,1,"Sat",0.0803212851405622,2.20284697508897
95,1057,426,300,15511,0.113657015681422,3,1,"1983-01-31",1983,1,31,5,"Mon",0.0898770104068117,1.42
100,1218,475,318,18308,0.113144445252379,2,1,"1983-03-02",1983,3,2,9,"Wed",0.0821018062397373,1.4937106918239
89,1168,556,391,17793,0.118495534815352,6,1,"1983-04-02",1983,4,2,14,"Sat",0.0761986301369863,1.42199488491049
82,1236,559,398,19205,0.117969401200945,3,1,"1983-05-02",1983,5,2,18,"Mon",0.0663430420711974,1.40452261306533
89,1076,483,337,19162,0.1176866141183,7,1,"1983-06-02",1983,6,2,22,"Thurs",0.0827137546468402,1.43323442136499
60,1174,587,477,20997,0.120059238961094,6,1,"1983-07-02",1983,7,2,27,"Sat",0.0511073253833049,1.23060796645702
84,1139,615,422,20705,0.119437745680998,8,1,"1983-08-01",1983,8,1,31,"Mon",0.0737489025460931,1.45734597156398
113,1427,618,495,18759,0.118881271786551,8,1,"1983-09-01",1983,9,1,35,"Thurs",0.079187105816398,1.24848484848485
126,1487,662,471,19240,0.118462360710195,4,1,"1983-10-01",1983,10,1,40,"Sat",0.0847343644922663,1.40552016985138
122,1483,519,368,17504,0.118016598400236,3,1,"1983-11-01",1983,11,1,44,"Tues",0.0822656776803776,1.41032608695652
118,1513,585,345,16591,0.117706622543368,5,1,"1983-12-01",1983,12,1,48,"Thurs",0.077990746860542,1.69565217391304
92,1357,483,296,16224,0.117776089941536,5,1,"1984-01-01",1984,1,1,1,"Sun",0.0677966101694915,1.63175675675676
86,1165,434,319,16670,0.114796991716514,3,1,"1984-01-31",1984,1,31,5,"Tues",0.0738197424892704,1.36050156739812
81,1282,513,349,18539,0.11573525277085,4,1,"1984-03-02",1984,3,2,9,"Fri",0.063182527301092,1.46991404011461
84,1110,548,375,19759,0.115356263024722,3,1,"1984-04-01",1984,4,1,14,"Sun",0.0756756756756757,1.46133333333333
87,1297,586,441,19584,0.114815360704668,6,1,"1984-05-01",1984,5,1,18,"Tues",0.0670778720123362,1.32879818594104
90,1185,522,465,19976,0.114777477886645,6,1,"1984-06-01",1984,6,1,22,"Fri",0.0759493670886076,1.12258064516129
79,1222,601,472,21486,0.114935980147534,7,1,"1984-07-02",1984,7,2,27,"Mon",0.0646481178396072,1.27330508474576
96,1284,644,521,21626,0.114796991716514,5,1,"1984-08-01",1984,8,1,31,"Wed",0.0747663551401869,1.23608445297505
122,1444,643,429,20195,0.114093156728444,7,1,"1984-09-01",1984,9,1,36,"Sat",0.0844875346260388,1.4988344988345
120,1575,641,408,19928,0.116465521799171,7,1,"1984-10-01",1984,10,1,40,"Mon",0.0761904761904762,1.57107843137255
137,1737,711,490,18564,0.116026113132354,4,1,"1984-10-31",1984,10,31,44,"Wed",0.0788716177317214,1.45102040816327
154,1763,721,491,18149,0.116066729379379,7,1,"1984-12-01",1984,12,1,49,"Sat",0.0873511060692002,1.46843177189409
